ROCKET MAGES NET LOG
[17.16984462738037]: Sent character data
[17.186842918395996]: Sent character data
[17.203846216201782]: Sent character data
[17.22111988067627]: Sent character data
[17.238043785095215]: Sent character data
[17.25612497329712]: Sent character data
[17.274049043655396]: Sent character data
[17.291053533554077]: Sent character data
[17.3090558052063]: Sent character data
[17.327062606811523]: Sent character data
[17.344062328338623]: Sent character data
[17.363070011138916]: Sent character data
[17.379150390625]: Sent character data
[17.396074771881104]: Sent character data
[17.41307783126831]: Sent character data
[17.429083347320557]: Sent character data
[17.446082830429077]: Sent character data
[17.46308708190918]: Sent character data
[17.48008966445923]: Sent character data
[17.497169256210327]: Sent character data
[17.515094995498657]: Sent character data
[17.531177759170532]: Sent character data
[17.548101902008057]: Sent character data
[17.565184831619263]: Sent character data
[17.583112955093384]: Sent character data
[17.60011601448059]: Sent character data
[17.616119623184204]: Sent character data
[17.633300065994263]: Sent character data
[17.650302410125732]: Sent character data
[17.667309522628784]: Sent character data
[17.685309171676636]: Sent character data
[17.702311992645264]: Sent character data
[17.719316244125366]: Sent character data
[17.736319541931152]: Sent character data
[17.752321481704712]: Sent character data
